OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date,Occurence_Time
3001,1153316,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,2,2A,0505,2016-01-25T08:00:00.000Z,00:18:01
3002,1153318,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6B,1084,2016-01-31T08:00:00.000Z,00:10:12
3003,1153319,3562,0,NARCOTICS,11357(B)HS POSS -28.5GR MARIJ,2,2B,0525,2016-01-31T08:00:00.000Z,00:15:55
3004,1153321,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,2016-02-01T08:00:00.000Z,00:05:33
3005,1153323,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1C,0428,2016-02-01T08:00:00.000Z,00:11:25
3006,1153325,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,4,4C,1289,2016-01-26T08:00:00.000Z,00:17:48
3007,1153329,7399,32,SAC CITY CODE,9.04.070 URINATE/DEFECATE PUB,3,3A,0704,2016-02-01T08:00:00.000Z,00:13:17
3008,1153330,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0563,2016-01-30T08:00:00.000Z,00:23:55
3009,1153331,5499,13,TRAFFIC VIO,23109(A)ILLEGAL SPEED CONTEST,1,1A,0327,2016-01-31T08:00:00.000Z,00:16:13
3010,1153336,5212,55,WEAPON OFFENSE,21510 POSS SWITCHBLADE,6,6D,0847,2016-02-01T08:00:00.000Z,00:01:09
3011,1153337,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0768,2016-02-01T08:00:00.000Z,00:13:49
3012,1153343,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0616,2016-02-01T08:00:00.000Z,00:14:32
3013,1153347,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,4,4A,0957,2016-02-01T08:00:00.000Z,00:14:29
3014,1153353,2404,13,AUTO THEFT,10851 VC AUTO THEFT LOCATE,2,2C,0616,2016-02-01T08:00:00.000Z,00:10:16
3015,1153354,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5C,1607,2016-02-01T08:00:00.000Z,00:08:30
3016,1153356,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,5,5A,1391,2016-01-31T08:00:00.000Z,00:15:00
3017,1153357,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1614,2016-02-01T08:00:00.000Z,00:14:40
3018,1153358,7399,62,SAC CITY CODE,12.52.030(A) UNLAWFUL CAMP-PUB,1,1B,0442,2016-02-01T08:00:00.000Z,00:23:19
3019,1153359,5707,71,TRESPASS,602(O)TRESP:REFUSE TO LEAVE,6,6D,0832,2016-02-01T08:00:00.000Z,00:22:09
3020,1153360,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,3,3B,0748,2016-02-01T08:00:00.000Z,00:20:02
3021,1153361,3522,11,NARCOTIC,11351 HS POSS/SALE OPIATE/NARC,6,6A,1014,2016-02-01T08:00:00.000Z,00:22:32
3022,1153364,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1B,0435,2016-01-24T08:00:00.000Z,00:09:34
3023,1153366,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0328,2016-01-28T08:00:00.000Z,00:20:38
3024,1153368,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,1356,2016-01-25T08:00:00.000Z,00:12:30
3025,1153369,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,4,4C,1252,2016-01-21T08:00:00.000Z,00:10:30
3026,1153372,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0765,2016-01-30T08:00:00.000Z,00:00:15
3027,1153373,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,6,6C,1422,2016-01-31T08:00:00.000Z,00:23:20
3028,1153374,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,3,3B,0787,2016-01-22T08:00:00.000Z,00:02:03
3029,1153375,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3B,0718,2016-01-30T08:00:00.000Z,00:20:20
3030,1153376,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0404,2016-01-26T08:00:00.000Z,00:15:51
3031,1153378,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6A,1014,2016-01-29T08:00:00.000Z,00:14:15
