OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date,Occurence_Time
1001,1290233,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0103,2018-01-15T08:00:00.000Z,00:15:00
1002,1290238,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1606,2018-01-08T08:00:00.000Z,00:04:30
1003,1290240,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1C,0447,2018-01-16T08:00:00.000Z,00:08:25
1004,1290241,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5A,1391,2018-01-16T08:00:00.000Z,00:13:58
1005,1290242,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6C,1445,2018-01-16T08:00:00.000Z,00:11:04
1006,1290243,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0564,2018-01-11T08:00:00.000Z,00:14:08
1007,1290244,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0568,2018-01-12T08:00:00.000Z,00:17:51
1008,1290245,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1C,0405,2018-01-16T08:00:00.000Z,00:06:30
1009,1290246,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6C,1443,2018-01-16T08:00:00.000Z,00:12:35
1010,1290247,5011,2,OBST JUDICIARY,3455(A)(4) PC FLASH PAROLE HLD,2,2B,0563,2018-01-16T08:00:00.000Z,00:13:08
1011,1290248,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0748,2018-01-17T08:00:00.000Z,00:13:15
1012,1290249,5011,2,OBST JUDICIARY,3455(A)(4) PC FLASH PAROLE HLD,,P3,,2018-01-17T08:00:00.000Z,00:05:14
1013,1290250,2999,02,VANDALISM,594(B)(1) PC VANDALISM >$400,2,2B,0563,2018-01-14T08:00:00.000Z,00:03:06
1014,1290252,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,6,6D,0846,2018-01-16T08:00:00.000Z,00:18:30
1015,1290254,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6C,1134,2018-01-14T08:00:00.000Z,00:13:52
1016,1290255,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0766,2018-01-06T08:00:00.000Z,00:13:00
1017,1290256,2999,05,VANDALISM,594(B)(2)(A) VANDALISM <$400,3,3A,0785,2018-01-15T08:00:00.000Z,00:21:30
1018,1290257,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,0744,2018-01-06T08:00:00.000Z,00:14:57
1019,1290258,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1654,2018-01-03T08:00:00.000Z,00:14:20
1020,1290260,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0765,2018-01-17T08:00:00.000Z,00:17:20
1021,1290261,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,0886,2018-01-06T08:00:00.000Z,00:11:00
1022,1290267,3699,25,SEX REGISTRATI,290.015 FAIL REG-UPON REL JAIL,3,3A,0701,2018-01-10T08:00:00.000Z,00:16:00
1023,1290268,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1C,0426,2018-01-07T08:00:00.000Z,00:01:00
1024,1290269,2999,15,VANDALISM,594(A)(1) PC VANDAL-DFACE PROP,6,6C,1441,2018-01-16T08:00:00.000Z,00:08:06
1025,1290272,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1265,2018-01-07T08:00:00.000Z,00:10:00
